GOALIE METRIC WEIGHTS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
model_type,category,category_weight_pct,metric_key,display_name,source_columns_required,calculation,direction,normalization,score_method,metric_weight_in_category_pct,final_weight_pct,include_in_v1_score,sample_rule,team_success_link,notes
Goalie,Shot-Stopping,30,save_pct_adj,Adjusted Save %,"Shots on goal; Saves; Saves, %",Shrinkage-adjusted saves / shots on goal,higher_is_better,adjusted_percentage,goalie_percentile,40,12,1,min 150 shots preferred,Opponent shots/goals,Primary shot-stopping metric.
Goalie,Shot-Stopping,30,saves_per60,Saves / 60,Saves; Time on ice,Saves / TOI_minutes * 60,context_dependent,per_60_context,context_percentile,20,6,1,min 100 TOI min,Workload,Volume + workload context.
Goalie,Shot-Stopping,30,goals_against_per60_inv,Goals Against / 60,Goals against; Time on ice,GA / TOI_minutes * 60,lower_is_better,per_60_inverted,goalie_percentile_inverted,20,6,1,min 100 TOI min,Goals against,Outcome; use with xG.
Goalie,Shot-Stopping,30,shots_against_per60_context,Shots Against / 60,Shots on goal; Time on ice,Shots against / TOI_minutes * 60,context_dependent,per_60_context,context_percentile,10,3,1,min 100 TOI min,Shots against,Workload context.
Goalie,Shot-Stopping,30,xg_per_shot_taken_context,xG per Shot Faced,xG per shot taken,Use provided value,context_dependent,rate_context,context_percentile,10,3,1,min shot threshold,xG per shot,Chance-quality context.
Goalie,xG-Adjusted Performance,25,gsae_per60,Goals Saved Above Expected / 60,xG conceded; Goals against; Time on ice,(xG conceded - goals against) / TOI_minutes * 60,higher_is_better,per_60,goalie_percentile,45,11.25,1,min 100 TOI min,"Opponent xG, goals against",Best xG-adjusted goalie value.
Goalie,xG-Adjusted Performance,25,xg_per_goal_conceded,xG per Goal Conceded,xG per goal conceded,Use provided value; higher means goals came from higher-quality chances,higher_is_better,rate,goalie_percentile,20,5,1,min goals threshold,xG conceded,Contextual quality of goals against.
Goalie,xG-Adjusted Performance,25,xg_conceded_per60_context,xG Conceded / 60,xG conceded; Time on ice,xG conceded / TOI_minutes * 60,context_dependent,per_60_context,context_percentile,10,2.5,1,min 100 TOI min,Opponent xG,Workload/chance quality context.
Goalie,xG-Adjusted Performance,25,xg_per_shot_saved,xG per Shot Saved,xG per shot saved,Use provided value,higher_is_better,rate,goalie_percentile,15,3.75,1,min saves threshold,xG saves,Quality of saves context.
Goalie,xG-Adjusted Performance,25,ga_vs_xg_index,GA vs xG Index,Goals against; xG conceded,xG conceded - goals against,higher_is_better,difference,goalie_percentile,10,2.5,1,min 100 TOI min,Opponent xG,Simple version of GSAE.
Goalie,High-Danger / Scoring-Chance Performance,20,scoring_chance_save_pct_adj,Adjusted Scoring Chance Save %,"Scoring chances - total; Scoring chance saves; Scoring chance saves, %",Shrinkage-adjusted scoring chance save percentage,higher_is_better,adjusted_percentage,goalie_percentile,45,9,1,min 40 chances preferred,Scoring chances against,High-danger-ish performance.
Goalie,High-Danger / Scoring-Chance Performance,20,scoring_chance_saves_per60,Scoring Chance Saves / 60,Scoring chance saves; Time on ice,SC saves / TOI_minutes * 60,context_dependent,per_60_context,context_percentile,20,4,1,min 100 TOI min,Scoring chances,Workload and saves.
Goalie,High-Danger / Scoring-Chance Performance,20,scoring_chances_against_per60_context,Scoring Chances Against / 60,Scoring chances - total; Time on ice,SC against / TOI_minutes * 60,context_dependent,per_60_context,context_percentile,20,4,1,min 100 TOI min,Scoring chances against,Workload quality.
Goalie,High-Danger / Scoring-Chance Performance,20,scoring_chance_goals_against_per60_inv,SC Goals Against / 60,Scoring chances - total; Scoring chance saves; Time on ice,(SC total - SC saves) / TOI_minutes * 60,lower_is_better,per_60_inverted,goalie_percentile_inverted,15,3,1,min 100 TOI min,Scoring chances against,Danger chance outcomes.
Goalie,Workload / Usage Context,10,toi_minutes_reliability,TOI Reliability,Time on ice,TOI minutes converted from string,higher_is_better,usage,reliability_index,35,3.5,1,starter/backup thresholds,Sample size,Reliability not talent.
Goalie,Workload / Usage Context,10,games_played_reliability,Games Played Reliability,Games played,Games played,higher_is_better,usage,reliability_index,25,2.5,1,goalie sample thresholds,Sample size,Reliability not talent.
Goalie,Workload / Usage Context,10,shots_against_per60_context,Shots Against / 60,Shots on goal; Time on ice,Shots against / TOI_minutes * 60,context_dependent,per_60_context,context_percentile,25,2.5,1,min 100 TOI min,Workload,Workload context.
Goalie,Workload / Usage Context,10,xg_conceded_per60_context,xG Conceded / 60,xG conceded; Time on ice,xG conceded / TOI_minutes * 60,context_dependent,per_60_context,context_percentile,15,1.5,1,min 100 TOI min,Opponent xG,Chance quality context.
Goalie,Puck-Playing,10,goalie_pass_accuracy_adj,Adjusted Goalie Pass Accuracy,"Passes; Accurate passes; Accurate passes, %",Shrinkage-adjusted accurate goalie passes / passes,higher_is_better,adjusted_percentage,goalie_percentile,45,4.5,1,min 20 passes,Breakouts/puck management,Goalie puck-play efficiency.
Goalie,Puck-Playing,10,goalie_passes_per60,Goalie Passes / 60,Passes; Time on ice,Passes / TOI_minutes * 60,context_dependent,per_60_context,context_percentile,25,2.5,1,min 100 TOI min,Puck-playing volume,Involvement context.
Goalie,Puck-Playing,10,goalie_accurate_passes_per60,Goalie Accurate Passes / 60,Accurate passes; Time on ice,Accurate passes / TOI_minutes * 60,higher_is_better,per_60,goalie_percentile,20,2,1,min 100 TOI min,Puck-playing,Successful puck movement.
Goalie,Puck-Playing,10,goalie_penalty_time_per60_inv,Goalie Penalty Time / 60,Penalty time; Time on ice,Penalty minutes / TOI_minutes * 60,lower_is_better,per_60_inverted,goalie_percentile_inverted,10,1,1,min 100 TOI min,Discipline,Low-weight risk.
Goalie,Discipline / Special Situations,5,goalie_penalty_time_per60_inv,Goalie Penalty Time / 60,Penalty time; Time on ice,Penalty minutes / TOI_minutes * 60,lower_is_better,per_60_inverted,goalie_percentile_inverted,25,1.25,1,min 100 TOI min,Discipline,Risk.
Goalie,Discipline / Special Situations,5,penalties_drawn_per60,Penalties Drawn / 60,Penalties drawn; Time on ice,Penalties drawn / TOI_minutes * 60,higher_is_better,per_60,goalie_percentile,10,0.5,1,min 100 TOI min,Discipline,Rare context.
Goalie,Discipline / Special Situations,5,shootout_save_pct_adj,Adjusted Shootout Save %,Shootout saves; Shootouts allowed; Shootouts,Shrinkage-adjusted shootout save %,higher_is_better,adjusted_percentage,context_percentile,25,1.25,0,large shootout sample required,Shootouts,Do not include in V1 unless sample grows.
Goalie,Discipline / Special Situations,5,shootout_sample_context,Shootout Sample,Shootouts,Shootouts faced/participated,context_dependent,context,context_flag,10,0.5,0,N/A,Shootouts,Display only.
Goalie,Discipline / Special Situations,5,goals_against_per60_inv,Goals Against / 60,Goals against; Time on ice,GA / TOI_minutes * 60,lower_is_better,per_60_inverted,goalie_percentile_inverted,30,1.5,1,min 100 TOI min,Goals against,Outcome check.
